Norsk eksport av fisk totalt per marked;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
Fiskerogn/-lever/-melke, fersk; -   ; 14 ; 839,24 ; 4 ; 1 916 ; 452,82 ; 16 ; 1 102 ; 67,24 
Torsk, fryst fiskekjøtt; -   ; -   ; . ; 57 ; 1 849 ; 32,30 ; 21 ; 602 ; 28,23 
Ørret, fryst filet; 17 ; 1 847 ; 107,96 ; 17 ; 1 847 ; 107,96 ; 7 ; 559 ; 85,19 
Pangasius (malle), fryst filet; 9 ; 457 ; 52,35 ; 39 ; 1 770 ; 44,93 ; 28 ; 950 ; 33,72 
Annen fisk, fersk filet; 1 ; 334 ; 240,30 ; 7 ; 1 590 ; 242,59 ; 11 ; 2 686 ; 235,91 
Annen fiskerogn/-lever/-melke, tørket/røykt/saltet; 24 ; 1 579 ; 67,00 ; 24 ; 1 582 ; 67,13 ; 24 ; 1 295 ; 55,02 
Sea bream (havkaruss), fersk hel*; 5 ; 454 ; 85,91 ; 19 ; 1 478 ; 79,20 ; 17 ; 1 086 ; 65,17 
Laks, røykt, også filet, ikke biprodukter; 4 ; 836 ; 192,22 ; 8 ; 1 467 ; 177,29 ; 10 ; 1 278 ; 124,83 
Annen fisk, fryst hel*; 2 ; 243 ; 101,70 ; 17 ; 1 400 ; 84,15 ; 35 ; 1 483 ; 42,97 
Laks, atlanterhavs-/donau-, oppdrettet, fersk hel med hode; -   ; -   ; . ; 14 ; 1 268 ; 90,00 ; 312 ; 22 943 ; 73,57 
Sardin/sardinella/brisling, tilberedt/konservert, hel/stykker, røykt i olje/tomat; 12 ; 775 ; 63,37 ; 19 ; 1 254 ; 65,58 ; 39 ; 2 357 ; 60,42 
Blåskjell, levende/fersk; 16 ; 536 ; 32,62 ; 39 ; 1 221 ; 31,09 ; 47 ; 1 277 ; 26,97 
Krabbe, ikke kongekrabbe/snøkrabbe, fryst, også røykt; 1 ; 234 ; 257,30 ; 12 ; 1 129 ; 93,91 ; 19 ; 2 733 ; 142,52 
Gulfinnet tunfisk, fryst hel*; 1 ; 225 ; 256,86 ; 5 ; 1 087 ; 197,73 ; 8 ; 2 635 ; 332,26 
Sjøkreps, fryst; 5 ; 692 ; 141,20 ; 8 ; 1 036 ; 128,10 ; 12 ; 1 329 ; 110,68 
Annen fisk, røykt, også filet, ikke biprodukter; 1 ; 86 ; 140,48 ; 8 ; 1 032 ; 132,90 ; 2 ; 206 ; 113,57 
Atlanterhavsmakrellstørje, fersk hel*; 2 ; 437 ; 287,55 ; 3 ; 1 016 ; 315,91 ; 2 ; 570 ; 288,82 
Blåskjell, tilberedt/konservert; 7 ; 294 ; 44,69 ; 26 ; 1 006 ; 38,42 ; 9 ; 470 ; 52,14 
Medisintran, ikke faste fraksjoner; 4 ; 461 ; 122,14 ; 8 ; 935 ; 115,36 ; 3 ; 258 ; 97,57 
Ansjos, tilberedt/konservert, hel/stykker; 2 ; 401 ; 184,68 ; 5 ; 934 ; 179,16 ; 3 ; 400 ; 149,24 
Fiskeboller, fiskekaker og fiskepudding, fryst; 12 ; 613 ; 51,96 ; 17 ; 864 ; 50,57 ; 5 ; 243 ; 50,51 
Blekksprut, åttearmet, fryst; 3 ; 411 ; 155,13 ; 5 ; 831 ; 155,74 ; 3 ; 311 ; 108,65 
Torsk, tørrfisk, annen rund, ikke biprodukter; -   ; -   ; . ; 1 ; 823 ; 605,84 ; -   ; -   ; . 
Sandskjell/hjerteskjell/arkskjell, levende/fersk; 3 ; 314 ; 95,52 ; 8 ; 820 ; 97,40 ; 10 ; 1 045 ; 106,86 
Annen fisk, andre fryste spiselige biprodukter; 15 ; 206 ; 13,66 ; 65 ; 787 ; 12,16 ; 99 ; 685 ; 6,94 
Hyse, fersk filet; 4 ; 318 ; 74,20 ; 11 ; 753 ; 71,52 ; 10 ; 625 ; 65,62 
Krabbe, tilberedt/konservert; 1 ; 427 ; 454,37 ; 2 ; 735 ; 333,30 ; 3 ; 418 ; 149,50 
Annen flyndrefisk, fersk filet; 1 ; 220 ; 229,55 ; 3 ; 717 ; 225,53 ; 7 ; 1 243 ; 175,72 
Sea bass (havabbor), fersk hel*; 3 ; 273 ; 105,41 ; 7 ; 707 ; 100,06 ; 8 ; 668 ; 80,60 
Piggvar, levende; -   ; -   ; . ; 1 ; 703 ; 1 180,83 ; 1 ; 446 ; 850,42 
Fiskerogn, tilberedt/konservert, ikke sukkersaltet, ikke fryst; -   ; 133 ; 306,25 ; 6 ; 670 ; 111,46 ; 11 ; 922 ; 80,68 
Flyndrefisk, ikke blåkveite, fryst filet; 2 ; 229 ; 139,14 ; 5 ; 622 ; 113,52 ; 12 ; 1 370 ; 110,25 
Annen fisk, fersk hel*; 2 ; 290 ; 131,23 ; 4 ; 612 ; 161,63 ; 4 ; 630 ; 172,35 
Fiskeboller, fiskekaker og fiskepudding, ikke fryst; 4 ; 178 ; 40,27 ; 18 ; 590 ; 32,68 ; 34 ; 899 ; 26,08 
Lysing (hake), fryst filet; 7 ; 558 ; 83,88 ; 7 ; 558 ; 83,88 ; -   ; -   ; . 
Kveite, atlanterhavs-/stillehavs-, ikke oppdrettet, fersk hel*; 1 ; 49 ; 43,86 ; 14 ; 555 ; 38,81 ; 1 ; 67 ; 68,93 
Blekksprut, åttearmet, tørket/saltet, også røykt*; 23 ; 532 ; 23,15 ; 23 ; 532 ; 23,15 ; -   ; 3 ; 266,60 
Hyse, fryst filet, ikke blokk; -   ; 21 ; 104,51 ; 11 ; 463 ; 41,04 ; 26 ; 745 ; 28,27 
Blekksprut, tiarmet (cuttle fish/squid), tilberedt/konservert*; 2 ; 189 ; 81,48 ; 6 ; 458 ; 70,87 ; 17 ; 808 ; 48,46 
Sei, fersk hel*; 36 ; 452 ; 12,62 ; 36 ; 453 ; 12,61 ; -   ; -   ; . 
Reker, tilberedt/konservert, vakuumpakket, ikke pillede fryst/pillede i lake; -   ; 41 ; 187,99 ; 3 ; 438 ; 128,41 ; 15 ; 1 670 ; 108,28 
Blåskjell, fryst; 2 ; 160 ; 71,43 ; 5 ; 420 ; 77,38 ; 6 ; 425 ; 74,67 
Akvariefisk, saltvann, levende; -   ; 141 ; 373,13 ; 1 ; 410 ; 593,66 ; 1 ; 511 ; 663,77 
Steinbit, fryst filet; -   ; -   ; . ; 11 ; 357 ; 33,12 ; 19 ; 535 ; 27,54 
Blekksprut, tiarmet, levende/fersk; 2 ; 219 ; 133,43 ; 2 ; 326 ; 138,37 ; 4 ; 374 ; 94,25 
Annen pelagisk fisk, fersk hel; 1 ; 125 ; 225,03 ; 2 ; 307 ; 200,37 ; 1 ; 121 ; 161,14 
Tilapia, fryst hel*; -   ; -   ; . ; 13 ; 273 ; 20,63 ; 25 ; 748 ; 29,93 
Sei, fryst fiskekjøtt; -   ; -   ; . ; 11 ; 269 ; 25,64 ; -   ; -   ; . 
Annen tran*; -   ; -   ; . ; 12 ; 268 ; 22,88 ; 62 ; 4 036 ; 65,49 
Malle (catfish), fryst hel*; -   ; -   ; . ; 9 ; 242 ; 26,28 ; -   ; 6 ; 28,20 
Tilapia, fryst filet; -   ; 144 ; 298,70 ; 2 ; 242 ; 117,14 ; 3 ; 406 ; 154,43 
Piggvar, ikke oppdrettet, fersk hel*; -   ; 152 ; 453,99 ; 1 ; 237 ; 350,66 ; 1 ; 105 ; 150,29 
Uer, fersk hel*; 16 ; 221 ; 14,00 ; 17 ; 234 ; 14,00 ; -   ; -   ; . 
Tran/veterinærtran, til dyrefôr; 1 ; 73 ; 123,49 ; 2 ; 234 ; 138,70 ; 1 ; 181 ; 144,46 
Tunge, fersk hel*; -   ; 62 ; 244,97 ; 1 ; 232 ; 239,38 ; 1 ; 304 ; 210,91 
Fiskemel/-pellets, spiselig; -   ; -   ; . ; 2 ; 224 ; 124,23 ; 5 ; 913 ; 174,93 
Laks, tilberedt/konservert, hel/stykker, ikke gravet/ikke vakuumpakket*; 3 ; 196 ; 74,35 ; 3 ; 216 ; 78,64 ; 15 ; 1 212 ; 79,71 
Piggvar, oppdrettet, fersk hel*; 1 ; 194 ; 179,72 ; 1 ; 194 ; 179,72 ; 1 ; 216 ; 165,09 
Annen pelagisk fisk, fryst hel; 1 ; 51 ; 55,21 ; 5 ; 193 ; 41,38 ; 2 ; 259 ; 113,41 
Andre krepsdyr og mel/pellets til menneskeføde, fersk; 1 ; 92 ; 88,80 ; 2 ; 192 ; 109,28 ; -   ; 7 ; 559,75 
Reker, tilberedt/konservert, vakuumpakket, pillede, i lake; 1 ; 100 ; 104,49 ; 2 ; 188 ; 121,96 ; 9 ; 1 155 ; 128,10 
Krabbe, ikke kongekrabbe/snøkrabbe, fersk; -   ; 2 ; 581,75 ; 1 ; 185 ; 257,77 ; -   ; 9 ; 84,50 
Laks, fersk filet; 3 ; 174 ; 57,76 ; 3 ; 174 ; 57,76 ; -   ; -   ; . 
Snøkrabbe, tørket/saltet, også kokt/røykt; -   ; 170 ; 393,33 ; -   ; 170 ; 393,33 ;;; . 
Sardin/sardinella/brisling, fryst hel*; -   ; -   ; . ; 7 ; 169 ; 24,16 ; 1 ; 19 ; 16,55 
Østers, tilberedt/konservert; 1 ; 53 ; 93,93 ; 2 ; 167 ; 93,19 ; 1 ; 93 ; 92,30 
Andre krepsdyr, levende; -   ; 40 ; 4 459,67 ; -   ; 167 ; 3 788,18 ; -   ; -   ; . 
Hyse, fersk hel*; 12 ; 151 ; 12,38 ; 13 ; 158 ; 12,38 ; 12 ; 344 ; 27,87 
Sild, røykt, også filet, ikke biprodukter; -   ; 50 ; 117,01 ; 1 ; 157 ; 114,10 ; 1 ; 117 ; 85,18 
Ål, tilberedt/konservert, hel/stykker; -   ; 21 ; 302,91 ; -   ; 156 ; 324,10 ; 1 ; 254 ; 324,01 
Snegler, ikke sjøsnegler, tilberedt/konservert; 1 ; 102 ; 158,63 ; 1 ; 154 ; 183,20 ; 1 ; 172 ; 222,71 
Andre bløtdyr og mel/pellets til menneskeføde, tørket/saltet, også røykt*; -   ; 141 ; 703,01 ; -   ; 141 ; 703,01 ; -   ; 169 ; 561,69 
Fiskefinner og andre biprodukter ellers, tørket/saltet/røykt; 1 ; 111 ; 194,06 ; 1 ; 139 ; 210,22 ; 3 ; 233 ; 68,29 
Laks, tilberedt/konservert, hel/stykker, ikke gravet, vakuumpakket; -   ; 63 ; 300,46 ; 1 ; 132 ; 247,09 ; 1 ; 149 ; 182,21 
Fiskehoder, -haler og svømmeblærer, tørket/saltet/røykt; -   ; -   ; . ; 3 ; 126 ; 43,47 ; 3 ; 95 ; 35,08 
Blekksprut, åttearmet, tilberedt/konservert; -   ; 7 ; 56,24 ; 1 ; 121 ; 201,59 ; 3 ; 338 ; 107,77 
Sandskjell/hjerteskjell/arkskjell, tilberedt/konservert; 1 ; 28 ; 34,41 ; 3 ; 115 ; 33,82 ; 2 ; 82 ; 39,59 
Blåkveite, fryst filet; 1 ; 113 ; 166,77 ; 1 ; 113 ; 166,77 ; -   ; -   ; . 
Annen flyndrefisk, fersk hel*; -   ; 37 ; 156,20 ; 1 ; 112 ; 159,28 ; 1 ; 167 ; 130,65 
Uer, fryst filet; -   ; -   ; . ; 1 ; 112 ; 95,47 ; 6 ; 118 ; 19,44 
Laks, atlanterhavs-/donau-, oppdrettet, fersk hel, ikke med hode*; -   ; -   ; . ; 1 ; 109 ; 162,41 ; -   ; -   ; . 
Andre sjøprodukter, til dyrefôr; -   ; 11 ; 80,28 ; 5 ; 107 ; 23,39 ; 1 ; 14 ; 21,97 
Snegler, ikke sjøsnegler, levende/fersk/fryst/tørket/saltet; -   ; 38 ; 599,33 ; -   ; 103 ; 373,34 ; 2 ; 85 ; 55,40 
Gulfinnet tunfisk, fersk hel*; -   ; 83 ; 181,20 ; 1 ; 103 ; 182,03 ; 2 ; 534 ; 237,70 
Torskelever, vakuumpakket, ikke fryst; 1 ; 62 ; 101,18 ; 1 ; 95 ; 104,82 ; 1 ; 70 ; 89,71 
Annet fiskeavfall, til dyrefôr; 12 ; 29 ; 2,40 ; 37 ; 89 ; 2,39 ; 125 ; 242 ; 1,94 
Andre bløtdyr, tilberedt/konservert*; -   ; 1 ; 62,95 ; 1 ; 86 ; 81,64 ; 2 ; 70 ; 44,17 
Hummer, ikke amerikansk, fersk; -   ; -   ; . ; -   ; 86 ; 417,29 ; 1 ; 605 ; 476,74 
Sild, fersk filet; -   ; 28 ; 87,88 ; 1 ; 82 ; 82,44 ; 1 ; 59 ; 53,21 
Hummer, tilberedt/konservert; -   ; 5 ; 215,24 ; -   ; 82 ; 659,85 ; -   ; -   ; . 
Tilapia/pangasius (malle)/karpe/ål/nilabbor/slangehodefisk, ferskt fiskekjøtt; -   ; 74 ; 436,54 ; -   ; 74 ; 436,54 ;;; . 
Nordsjøsild, fryst hel*; 3 ; 72 ; 28,60 ; 3 ; 72 ; 28,60 ; -   ; -   ; . 
Makrell, fryst filet; 1 ; 45 ; 67,48 ; 1 ; 68 ; 66,49 ; 1 ; 38 ; 58,47 
Hummer, ikke amerikansk, levende; -   ; -   ; . ; -   ; 68 ; 489,69 ; 1 ; 202 ; 320,60 
Blåkveite, fryste spiselige biprodukter; -   ; -   ; . ; 4 ; 66 ; 16,17 ; -   ; -   ; . 
Annen fisk, tilberedt/konservert, hel/stykker, ikke fryst*; -   ; 22 ; 224,88 ; -   ; 65 ; 173,70 ; -   ; 33 ; 185,41 
Tilapia/malle (pangasius)/karpe/ål/nilabbor/slangehodefisk, tørket/tørket & saltet, ikke filet; -   ; -   ; . ; 1 ; 65 ; 128,60 ; 1 ; 81 ; 122,79 
Sea bass (havabbor), fryst hel*; -   ; 3 ; 133,95 ; 1 ; 61 ; 93,05 ; -   ; 14 ; 127,16 
Steinbit, fryst hel*; 4 ; 56 ; 12,59 ; 4 ; 56 ; 12,59 ;;; . 
Sjøkreps, fersk; -   ; -   ; . ; 2 ; 45 ; 29,13 ; -   ; -   ; . 
Makrell, under 600 g, fryst hel*; -   ; -   ; . ; 1 ; 45 ; 37,73 ; -   ; 7 ; 36,73 
Blåkveite, fryst hel*; -   ; -   ; . ; 1 ; 42 ; 53,92 ; -   ; 30 ; 248,88 
Tilapia/pangasius (malle)/karpe/ål/nilabbor/slangehodefisk, røykt, også filet, ikke biprodukter; -   ; 13 ; 331,20 ; -   ; 40 ; 331,84 ; -   ; 20 ; 293,70 
Torsk, ikke oppdrettet/oppfôret, fersk filet; -   ; 38 ; 181,87 ; -   ; 38 ; 181,87 ; -   ; 4 ; 125,73 
Hyse, fryst hel*; 1 ; 38 ; 31,43 ; 1 ; 38 ; 31,43 ; 8 ; 148 ; 17,99 
Sardin/sardinella/brisling, fersk hel*; -   ; 10 ; 68,12 ; 1 ; 35 ; 66,05 ; 1 ; 42 ; 55,13 
Kolmule, fryst hel*; -   ; -   ; . ; 2 ; 34 ; 19,09 ;;; . 
Annen tunfisk, fersk hel*; -   ; 9 ; 191,96 ; -   ; 32 ; 198,52 ; -   ; 5 ; 205,64 
Storøyet tunfisk og atlanterhavsmakrellstørje, fersk filet; -   ; -   ; . ; -   ; 27 ; 232,65 ; -   ; -   ; . 
Sild, saltet filet; -   ; 2 ; 69,17 ; 1 ; 27 ; 35,57 ; -   ; 11 ; 33,63 
Storøyet tunfisk og atlanterhavsmakrellstørje, fryst filet; -   ; 24 ; 94,72 ; -   ; 24 ; 94,72 ;;; . 
Reker, kaldtvanns-, ikke rå/kokte med skall, fryst; -   ; 6 ; 102,22 ; -   ; 23 ; 98,30 ; -   ; 35 ; 85,23 
Annen tørrfisk; -   ; 8 ; 89,36 ; -   ; 23 ; 98,45 ; 3 ; 301 ; 112,99 
Reker, ikke kaldtvanns-, fersk; -   ; 18 ; 160,89 ; -   ; 20 ; 171,02 ; -   ; 6 ; 392,00 
Andre bløtdyr/virvelløse dyr, levende/fersk; -   ; 10 ; 652,40 ; -   ; 18 ; 680,00 ; -   ; 14 ; 171,42 
Laks, tilberedt/konservert, hel/stykker, gravet; -   ; -   ; . ; -   ; 17 ; 155,92 ; -   ; 25 ; 115,54 
Reker, tørket/saltet, også røykt; -   ; -   ; . ; -   ; 17 ; 215,18 ; -   ; 23 ; 340,13 
Steinbit, fersk hel*; 2 ; 17 ; 8,92 ; 2 ; 17 ; 8,92 ; -   ; 11 ; 39,95 
Sild, saltet hel, ikke biprodukter; -   ; 9 ; 64,96 ; -   ; 16 ; 64,07 ; -   ; 5 ; 48,75 
Karpe, fersk hel*; -   ; -   ; . ; -   ; 16 ; 97,48 ; -   ; 19 ; 67,69 
Kråkebolle, fryst; -   ; -   ; . ; -   ; 14 ; 1 540,11 ;;; . 
Karpe, levende*; -   ; 13 ; 120,72 ; -   ; 13 ; 120,72 ; -   ; 92 ; 359,48 
Andre virvelløse dyr, levende/fersk/fryst/tørket/saltet; -   ; -   ; . ; -   ; 12 ; 3 105,50 ; -   ; -   ; . 
Blekksprut, tiarmet, tørket/saltet, også røykt*; -   ; -   ; . ; -   ; 12 ; 249,33 ; 1 ; 267 ; 278,31 
Mel og pellets av fisk, krepsdyr, bløtdyr eller av andre virvelløse dyr som lever i vann, ikke til dyrefôr; -   ; 4 ; 219,40 ; -   ; 12 ; 282,60 ; -   ; -   ; . 
Lysing (hake), fryst hel*; -   ; 5 ; 47,04 ; -   ; 10 ; 48,21 ; -   ; 6 ; 36,62 
Annen tunfisk, fryst hel*; -   ; -   ; . ; -   ; 10 ; 26,78 ; -   ; 1 ; 54,90 
Lange, fersk hel; 1 ; 10 ; 11,44 ; 1 ; 10 ; 11,44 ; -   ; -   ; . 
Torskefisker, tørrfisk/klippfisk andre; -   ; 7 ; 160,95 ; -   ; 9 ; 158,56 ; -   ; 4 ; 105,38 
Tran, faste fraksjoner, ikke til dyrefôr; -   ; -   ; . ; -   ; 9 ; 1 155,63 ; -   ; -   ; . 
Karpe/ål/slangehodefisk, fryst filet; -   ; -   ; . ; -   ; 8 ; 65,69 ; -   ; -   ; . 
Annen flyndrefisk, fryst hel*; -   ; -   ; . ; -   ; 8 ; 115,77 ; -   ; -   ; . 
Sverdfisk, fersk hel*; -   ; 3 ; 183,82 ; -   ; 7 ; 189,44 ; -   ; -   ; . 
Ansjos, fersk hel*; -   ; -   ; . ; -   ; 7 ; 87,37 ; -   ; 16 ; 68,97 
Annen fiskerogn/-lever/-melke, fryst; -   ; 7 ; 556,42 ; -   ; 7 ; 556,42 ; -   ; -   ; . 
Ål, fryst hel*; -   ; 7 ; 325,20 ; -   ; 7 ; 325,20 ; -   ; 19 ; 292,70 
Pangasius (malle), fersk filet; -   ; -   ; . ; -   ; 6 ; 38,74 ; -   ; -   ; . 
Kveite, atlanterhavs-/stillehavs-, fryst hel*; -   ; 6 ; 152,63 ; -   ; 6 ; 152,63 ; -   ; -   ; . 
Tunge, fryst hel*; -   ; -   ; . ; -   ; 6 ; 288,65 ; -   ; 67 ; 190,07 
Kråkebolle, levende/fersk; -   ; -   ; . ; -   ; 6 ; 574,40 ; -   ; 2 ; 1 221,00 
Blekksprut, åttearmet, levende/fersk; -   ; -   ; . ; -   ; 5 ; 209,63 ; -   ; 12 ; 155,03 
Sjøpølse, tørket/saltet, også røykt*; -   ; -   ; . ; -   ; 5 ; 2 373,50 ; -   ; -   ; . 
Kamskjell, tilberedt/konservert; -   ; 4 ; 535,13 ; -   ; 4 ; 535,13 ; -   ; 5 ; 136,67 
Tilapia/pangasius (malle)/karpe/ål/nilabbor/slangehodefisk, fryst fiskekjøtt; -   ; 4 ; 324,75 ; -   ; 4 ; 324,75 ; 1 ; 37 ; 49,89 
Kråkebolle, tilberedt/konservert; -   ; -   ; . ; -   ; 3 ; 1 143,67 ; -   ; -   ; . 
Annen klippfisk; -   ; -   ; . ; -   ; 3 ; 79,72 ; -   ; 4 ; 81,96 
Reker, ikke kaldtvanns-, levende; -   ; -   ; . ; -   ; 3 ; 1 269,50 ; -   ; 63 ; 2 732,30 
Skate/rokke, fryst hel*; -   ; 2 ; 47,56 ; -   ; 2 ; 47,56 ; -   ; 2 ; 30,90 
Sverdfisk, fersk filet; -   ; 2 ; 168,92 ; -   ; 2 ; 168,92 ; -   ; -   ; . 
Pigghå og annen haifisk, fryst hel; -   ; 2 ; 38,04 ; -   ; 2 ; 38,04 ; -   ; 9 ; 26,42 
Manet, tilberedt/konservert; -   ; 2 ; 108,65 ; -   ; 2 ; 108,65 ; -   ; -   ; . 
Annen fisk, ferskt fiskekjøtt; -   ; -   ; . ; -   ; 2 ; 103,44 ; -   ; 3 ; 52,44 
Breiflabb, fersk hel*; -   ; 2 ; 30,00 ; -   ; 2 ; 30,00 ; -   ; -   ; . 
Ansjos, saltet hel, ikke biprodukter; -   ; -   ; . ; -   ; 1 ; 176,43 ; 7 ; 614 ; 91,95 
Rødspette, fersk hel*; -   ; -   ; . ; -   ; 1 ; 225,80 ; -   ; -   ; . 
Taggmakrell (hestemakrell), fersk hel*; -   ; -   ; . ; -   ; 1 ; 57,00 ; 111 ; 1 279 ; 11,56 
Laks, levende;;; . ;;; . ; -   ; -   ; . 
Leppefisk, levende;;; . ;;; . ; 1 ; 1 216 ; 923,64 
Annen fisk, levende;;; . ;;; . ; -   ; -   ; . 
Blåkveite, fersk hel*;;; . ;;; . ; -   ; -   ; . 
Albakor, fersk hel*;;; . ;;; . ; -   ; -   ; . 
Bukstripet pelamide, fersk hel*;;; . ;;; . ; -   ; -   ; . 
Sydlig blåfinnet tunfisk, fersk hel*;;; . ;;; . ; -   ; -   ; . 
Taggmakrell andre;;; . ;;; . ; -   ; 8 ; 63,26 
Lodde, fersk hel;;; . ;;; . ; 3 061 ; 8 462 ; 2,76 
Torsk, andre ferske spiselige biprodukter;;; . ;;; . ; 64 ; 78 ; 1,21 
Laks, stillehavs-, ikke indian-laks (sockeye), fryst hel*;;; . ;;; . ; -   ; -   ; . 
Annen laksefisk, fryst hel*/(før 2012: Laks, stillehavs-, ikke indian-laks (sockeye), fryst hel);;; . ;;; . ; 5 ; 522 ; 96,61 
Karpe, fryst hel*;;; . ;;; . ; 3 ; 131 ; 44,76 
Nilabbor/slangehodefisk, fryst hel*/(Før 2012: Annen laksefisk, fryst hel);;; . ;;; . ; -   ; -   ; . 
Piggvar, fryst hel*;;; . ;;; . ; -   ; -   ; . 
Sild, ikke NVG-/nordsjø-, fryst hel*;;; . ;;; . ; -   ; -   ; . 
Makrell, 600 g og over, fryst hel*;;; . ;;; . ; -   ; -   ; . 
Taggmakrell (hestemakrell), fryst hel*;;; . ;;; . ; -   ; 26 ; 57,64 
Andre torskefisker, fryst hel*;;; . ;;; . ; 19 ; 326 ; 17,09 
Uer, fryst hel*;;; . ;;; . ; -   ; -   ; . 
Ørret, fersk filet;;; . ;;; . ; 1 ; 114 ; 130,62 
Sei, fersk filet;;; . ;;; . ; -   ; 9 ; 75,96 
Andre torskefisker, fersk filet;;; . ;;; . ; 1 ; 44 ; 66,32 
Uer, fersk filet;;; . ;;; . ; -   ; -   ; . 
Steinbit, fersk filet;;; . ;;; . ; -   ; -   ; . 
Andre torskefisker, fryst filet;;; . ;;; . ; -   ; 8 ; 32,78 
Sverdfisk, fryst filet;;; . ;;; . ; -   ; -   ; . 
Tannfisk, fryst filet;;; . ;;; . ; -   ; -   ; . 
Sild, fryst filet med skinn;;; . ;;; . ; -   ; -   ; . 
Sild, fryst filet uten skinn ellers;;; . ;;; . ; -   ; -   ; . 
Pigghå og annen hai, fryst fiskekjøtt;;; . ;;; . ; -   ; -   ; . 
Sildelapper, fryste, vårgytende sild;;; . ;;; . ; 63 ; 933 ; 14,77 
Laks, fryst fiskekjøtt, ikke surimi;;; . ;;; . ; -   ; -   ; . 
Rognkjeksrogn, saltet;;; . ;;; . ; -   ; 1 ; 256,75 
Lange, tørket filet;;; . ;;; . ; -   ; 2 ; 804,33 
Annen fisk, saltet filet;;; . ;;; . ; 1 ; 111 ; 101,64 
Ørret, røykt, også filet, ikke biprodukter;;; . ;;; . ; -   ; -   ; . 
Torsk, tørrfisk, rotskjær, ikke biprodukter;;; . ;;; . ; -   ; -   ; . 
Torsk, tørrfisk, lofotrundfisk, ikke biprodukter;;; . ;;; . ; -   ; -   ; . 
Torsk, atlanterhavs-, klippfisk, ikke biprodukter;;; . ;;; . ; -   ; -   ; . 
Torsk, grønnlands-/stillehavs-, klippfisk, ikke biprodukter;;; . ;;; . ; -   ; 7 ; 75,50 
Sei, tørrfisk, rundfisk, ikke filet;;; . ;;; . ; -   ; -   ; . 
Brosme, tørrfisk, ikke filet;;; . ;;; . ; -   ; -   ; . 
Pelagisk fisk, tørrfisk/klippfisk;;; . ;;; . ; 1 ; 85 ; 111,37 
Annen fisk, saltet hel*;;; . ;;; . ; -   ; 23 ; 145,19 
Languster, fryst;;; . ;;; . ; -   ; 2 ; 212,90 
Kongekrabbe, fryst;;; . ;;; . ; -   ; -   ; . 
Snøkrabbe, fryst, også røykt;;; . ;;; . ; 1 ; 201 ; 351,58 
Andre krepsdyr og mel/pellets til menneskeføde, fryst;;; . ;;; . ; -   ; -   ; . 
Amerikansk hummer, fersk;;; . ;;; . ; -   ; 138 ; 394,93 
Snøkrabbe, fersk;;; . ;;; . ; -   ; -   ; . 
Sjøkreps, levende;;; . ;;; . ; -   ; -   ; . 
Reker, kaldtvanns-, rå;;; . ;;; . ; -   ; -   ; . 
Hummer, tørket/saltet, også kokt/røykt;;; . ;;; . ; -   ; -   ; . 
Krabbe, ikke kongekrabbe/snøkrabbe, tørket/saltet, også kokt/røykt;;; . ;;; . ; -   ; -   ; . 
Sjøkreps, tørket/saltet, også kokt/røykt;;; . ;;; . ; -   ; -   ; . 
Reker, kokte med skall;;; . ;;; . ; 6 ; 526 ; 89,27 
Andre krepsdyr og mel/pellets til menneskeføde, tørket/saltet, også kokt/røykt;;; . ;;; . ; -   ; -   ; . 
Østers, fryst;;; . ;;; . ; -   ; 12 ; 60,16 
Kamskjell, ikke pecten maximus, levende/fersk;;; . ;;; . ; -   ; 4 ; 288,07 
Sandskjell/hjerteskjell/arkskjell, fryst;;; . ;;; . ; 1 ; 72 ; 60,85 
Abalone musling (sjøøre), levende/fersk*;;; . ;;; . ; -   ; 14 ; 385,51 
Skorpionsnegle, fryst;;; . ;;; . ; -   ; -   ; . 
Kongsnegl fryste;;; . ;;; . ; -   ; -   ; . 
Manet, levende/fersk/fryst/tørket/saltet;;; . ;;; . ; -   ; -   ; . 
Industrifisk (kolmule, tobis, øyepål o.l.), til dyrefôr;;; . ;;; . ; -   ; 76 ; 1 079,69 
Fiskehoder/avskjær, tørkete/revne (cuts), til dyrefôr;;; . ;;; . ; -   ; 14 ; 193,37 
Abalone musling (sjøøre), tilberedt/konservert;;; . ;;; . ; -   ; 1 ; 1 106,00 
Andre virvelløse dyr, tilberedt/konservert;;; . ;;; . ; -   ; -   ; . 
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk import av fryst torsk;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;Mars 2023 Reviderte tall;;;Januar - mars 2023 Reviderte tall;;;Januar - mars 2022 Endelige tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
